Date,Hour,District,Latitude,Longitude,Vehicle_Type,Cause,Severity,Month,Province
2025-11-24,19,Sindhuli,27.221400827746226,85.88648307111076,Motorcycle,Speeding,Fatal,11,Bagmati
2025-02-27,17,Kapilvastu,27.531489207271278,82.98508415646383,Motorcycle,Speeding,Fatal,2,Lumbini
2025-01-13,19,Khotang,27.213259097790726,86.72826594813263,Car,Drink Driving,Serious,1,Koshi
2025-05-21,22,Morang,26.623908299994245,87.39051195230627,Motorcycle,Poor Road,Serious,5,Koshi
2025-05-06,17,Palpa,27.76709570664246,83.64212929234881,Motorcycle,Speeding,Serious,5,Lumbini
2025-04-25,17,Kaski,28.239274726113127,83.93933234122132,Car,Poor Road,Minor,4,Gandaki
2025-03-13,22,Sarlahi,27.03661154881484,85.58964426212353,Motorcycle,Poor Road,Serious,3,Madhesh
2025-02-22,20,Nawalparasi West,27.533592628106724,83.75366727739863,Motorcycle,Speeding,Fatal,2,Lumbini
2025-12-13,16,Rupandehi,27.5034033291027,83.51742361408003,Car,Speeding,Serious,12,Lumbini
2025-10-07,19,Baitadi,29.57233867718913,80.44766759962036,Truck,Speeding,Minor,10,Sudurpashchim
2025-02-14,16,Ilam,26.929241107957363,87.9083524843651,Motorcycle,Speeding,Fatal,2,Koshi
2025-10-30,16,Sunsari,26.61464460757686,87.1874502456037,Motorcycle,Reckless Driving,Fatal,10,Koshi
2025-08-05,18,Lalitpur,27.65239157624231,85.37023743593173,Motorcycle,Speeding,Fatal,8,Bagmati
2025-01-17,12,Tanahun,27.935544892690658,84.31841173440296,Motorcycle,Speeding,Serious,1,Gandaki
2025-01-16,12,Lalitpur,27.594126850533176,85.37375185774584,Motorcycle,Reckless Driving,Serious,1,Bagmati
2025-02-17,16,Sunsari,26.66974489365117,87.0919144198095,Motorcycle,Speeding,Fatal,2,Koshi
2025-04-22,14,Gorkha,27.99811858070935,84.56142219871528,Motorcycle,Reckless Driving,Minor,4,Gandaki
2025-04-30,18,Terhathum,27.140723729188093,87.58546074176076,Motorcycle,Monsoon Weather,Serious,4,Koshi
2025-09-16,15,Parsa,27.09254161929126,84.91032436340186,Car,Speeding,Serious,9,Madhesh
2025-11-05,13,Rupandehi,27.44895569023648,83.4975614441037,Motorcycle,Reckless Driving,Serious,11,Lumbini
2025-01-14,22,Dhading,27.89311685754048,84.8725235669693,Bus,Reckless Driving,Serious,1,Bagmati
2025-10-15,17,Achham,29.045318282027875,81.24681828098346,Motorcycle,Speeding,Fatal,10,Sudurpashchim
2025-04-12,18,Palpa,27.825902488752146,83.60806886207153,Motorcycle,Speeding,Fatal,4,Lumbini
2025-11-29,13,Darchula,29.789533667464198,80.53803165767013,Motorcycle,Speeding,Serious,11,Sudurpashchim
2025-12-26,16,Chitwan,27.511569691963643,84.53900277557976,Car,Speeding,Minor,12,Bagmati
2025-10-07,18,Dailekh,28.883901133636687,81.62934895853674,Truck,Speeding,Fatal,10,Karnali
2025-08-03,14,Tanahun,27.909643212095514,84.23354818483882,Motorcycle,Speeding,Fatal,8,Gandaki
2025-04-23,19,Makwanpur,27.51459932329743,85.11513878706882,Motorcycle,Reckless Driving,Serious,4,Bagmati
2025-08-18,16,Kaski,28.231717278370102,84.04819022743031,Motorcycle,Monsoon Weather,Fatal,8,Gandaki
2025-10-29,17,Kathmandu,27.74983248486619,85.37256617214832,Car,Poor Road,Serious,10,Bagmati
2025-05-23,16,Parsa,27.161153256091186,84.81896947171458,Motorcycle,Speeding,Fatal,5,Madhesh
2025-01-04,23,Arghakhanchi,27.904847858418627,83.17235200352623,Bus,Speeding,Fatal,1,Lumbini
2025-03-23,17,Rupandehi,27.52055926881425,83.3976250457332,Truck,Speeding,Serious,3,Lumbini
2025-12-24,14,Myagdi,28.46138243786197,83.49488973804728,Motorcycle,Monsoon Weather,Serious,12,Gandaki
2025-08-05,20,Rupandehi,27.45728801576394,83.46418298715457,Motorcycle,Speeding,Fatal,8,Lumbini
2025-06-24,14,Sindhuli,27.317708164553014,85.9896942985125,Motorcycle,Reckless Driving,Fatal,6,Bagmati
2025-05-23,18,Rautahat,27.026628258263827,85.3132354361574,Motorcycle,Speeding,Fatal,5,Madhesh
2025-03-21,12,Kathmandu,27.69807166548113,85.26985021754155,Motorcycle,Reckless Driving,Serious,3,Bagmati
2025-04-21,14,Chitwan,27.643153672868298,84.45976576032206,Motorcycle,Speeding,Fatal,4,Bagmati
2025-06-22,18,Rukum East,28.634609420412506,82.64000242867658,Motorcycle,Monsoon Weather,Fatal,6,Lumbini
2025-02-22,20,Lalitpur,27.598098485492986,85.29950335992658,Truck,Speeding,Fatal,2,Bagmati
2025-02-17,18,Jhapa,26.474525588526557,87.84193087080648,Motorcycle,Speeding,Serious,2,Koshi
